Time period,ISL rate
1993-01,17.7
1993-02,18.46
1993-03,18.86
1993-04,18.73
1993-05,18.49
1993-06,18.45
1993-07,17.63
1993-08,16.09
1993-09,15.45
1993-10,15.18
1993-11,15.05
1993-12,15.4
1994-01,16
1994-02,16.25
1994-03,16.07
1994-04,16.19
1994-05,16.4
1994-06,17.01
1994-07,17.55
1994-08,18.01
1994-09,19.44
1994-10,21.1
1994-11,21.32
1994-12,23.31
1995-01,23.57
1995-02,24.03
1995-03,22.8
1995-04,21.37
1995-05,20.56
1995-06,20.26
1995-07,19.99
1995-08,19.73
1995-09,19.91
1995-10,20.49
1995-11,21.03
1995-12,20.99
1996-01,20.21
1996-02,20.77
1996-03,20.77
1996-04,20.81
1996-05,21.34
1996-06,22.31
1996-07,23.65
1996-08,22.76
1996-09,22.36
1996-10,21.99
1996-11,21.61
1996-12,21.49
1997-01,21.05
1997-02,20.64
1997-03,20.47
1997-04,20.24
1997-05,20.13
1997-06,19.75
1997-07,18.83
1997-08,18.79
1997-09,19.6
1997-10,19.3
1997-11,19.38
1997-12,19.15
1998-01,19.22
1998-02,18.65
1998-03,18.17
1998-04,17.67
1998-05,17.28
1998-06,16.99
1998-07,16.61
1998-08,15.07
1998-09,14.64
1998-10,14.79
1998-11,17.62
1998-12,18.49
1999-01,18.56
1999-02,18.71
1999-03,18.22
1999-04,17.58
1999-05,17.19
1999-06,17.32
1999-07,17.11
1999-08,16.58
1999-09,16.63
1999-10,16.56
1999-11,16.47
1999-12,16.01
2000-01,15.3
2000-02,14.86
2000-03,14.36
2000-04,13.88
2000-05,13.64
2000-06,13.62
2000-07,13.58
2000-08,13.25
2000-09,13.04
2000-10,12.67
2000-11,12.47
2000-12,12.16
2001-01,11.95
2001-02,11.63
2001-03,11.38
2001-04,11.02
2001-05,11
2001-06,10.68
2001-07,10.3
2001-08,10
2001-09,10.03
2001-10,10.11
2001-11,9.88
2001-12,9.14
2002-01,7.73
2002-02,7.85
2002-03,8.31
2002-04,8.31
2002-05,8.45
2002-06,10.34
2002-07,12.45
2002-08,12.56
2002-09,12.64
2002-10,12.45
2002-11,12.47
2002-12,12.51
2003-01,12.62
2003-02,12.72
2003-03,12.59
2003-04,12.47
2003-05,12.17
2003-06,11.66
2003-07,11.26
2003-08,10.79
2003-09,10.37
2003-10,10.02
2003-11,9.5
2003-12,9.08
2004-01,8.66
2004-02,8.49
2004-03,8.15
2004-04,7.99
2004-05,7.84
2004-06,7.87
2004-07,7.81
2004-08,7.83
2004-09,7.83
2004-10,7.82
2004-11,7.81
2004-12,7.58
2005-01,7.33
2005-02,7.12
2005-03,7.09
2005-04,7.07
2005-05,7.03
2005-06,7.01
2005-07,7.05
2005-08,7.01
2005-09,7.01
2005-10,7.13
2005-11,7.41
2005-12,7.73
2006-01,7.83
2006-02,8.12
2006-03,8.07
2006-04,8.37
2006-05,8.54
2006-06,8.48
2006-07,8.4
2006-08,8.63
2006-09,8.58
2006-10,8.51
2006-11,8.32
2006-12,7.99
2007-01,7.43
2007-02,7.21
2007-03,6.92
2007-04,6.85
2007-05,6.73
2007-06,6.57
2007-07,6.39
2007-08,6.58
2007-09,6.85
2007-10,6.86
2007-11,6.87
2007-12,6.93
2008-01,7.14
2008-02,7.14
2008-03,6.65
2008-04,6.14
2008-05,6.18
2008-06,6.38
2008-07,6.57
2008-08,6.88
2008-09,7.13
2008-10,6.83
2008-11,6.32
2008-12,5.74
2009-01,4.93
2009-02,4.4
2009-03,4.14
2009-04,3.92
2009-05,3.95
2009-06,4.03
2009-07,3.97
2009-08,4.01
2009-09,4.19
2009-10,4.24
2009-11,4.25
2009-12,4.38
2010-01,4.68
2010-02,4.66
2010-03,4.67
2010-04,4.86
2010-05,4.91
2010-06,4.86
2010-07,4.92
2010-08,5.06
2010-09,5.04
2010-10,5.32
2010-11,5.29
2010-12,5.26
2011-01,5.24
2011-02,5.54
2011-03,5.74
2011-04,6.07
2011-05,6.1
2011-06,6.12
2011-07,6.24
2011-08,6.28
2011-09,6.15
2011-10,6.21
2011-11,6.08
2011-12,5.92
2012-01,5.86
2012-02,5.68
2012-03,5.66
2012-04,5.74
2012-05,5.72
2012-06,5.69
2012-07,5.47
2012-08,5.41
2012-09,5.42
2012-10,5.46
2012-11,5.27
2012-12,5.23
2013-01,4.9
2013-02,4.88
2013-03,4.87
2013-04,4.9
2013-05,4.78
2013-06,4.44
2013-07,4.46
2013-08,4.38
2013-09,4.31
2013-10,4.14
2013-11,4.18
2013-12,4.19
2014-01,4.18
2014-02,4.3
2014-03,4.06
2014-04,4.01
2014-05,3.99
2014-06,4.02
2014-07,4.07
2014-08,3.76
2014-09,3.6
2014-10,3.6
2014-11,3.6
2014-12,3.58
2015-01,3.59
2015-02,3.57
2015-03,3.47
2015-04,3.45
2015-05,3.44
2015-06,3.48
2015-07,3.42
2015-08,3.39
2015-09,3.41
2015-10,3.44
2015-11,3.4
2015-12,3.45
2016-01,3.39
2016-02,3.43
2016-03,3.39
2016-04,3.37
2016-05,3.43
2016-06,3.4
2016-07,3.43
2016-08,3.42
2016-09,3.41
2016-10,3.44
2016-11,3.45
2016-12,3.48
2017-01,3.47
2017-02,3.5
2017-03,3.53
2017-04,3.51
2017-05,3.51
2017-06,3.49
2017-07,3.51
2017-08,3.48
2017-09,3.48
2017-10,3.52
2017-11,3.5
2017-12,3.46
2018-01,3.49
2018-02,3.53
2018-03,3.52
2018-04,3.47
2018-05,3.47
2018-06,3.45
2018-07,3.49
2018-08,3.41
2018-09,3.41
2018-10,3.42
2018-11,3.51
2018-12,3.58
2019-01,3.59
2019-02,3.59
2019-03,3.59
2019-04,3.56
2019-05,3.55
2019-06,3.52
2019-07,3.52
2019-08,3.49
2019-09,3.51
2019-10,3.51
2019-11,3.49
2019-12,3.49
2020-01,3.46
2020-02,3.48
2020-03,3.44
2020-04,3.39
2020-05,3.29
2020-06,3.28
2020-07,3.26
2020-08,3.22
2020-09,3.24
2020-10,3.22
2020-11,3.22
2020-12,3.21
2021-01,3.15
2021-02,3.21
2021-03,3.23
2021-04,3.16
2021-05,3.11
2021-06,3.11
2021-07,3.09
2021-08,3.06
2021-09,3.05
2021-10,3.04
2021-11,3.02
2021-12,2.99
2022-01,2.95
2022-02,2.98
2022-03,2.94
2022-04,2.99
2022-05,3.11
2022-06,3.37
2022-07,3.68
2022-08,3.87
2022-09,4.33
2022-10,4.74
2022-11,5.01
2022-12,5.35
2023-01,5.674